,id,primary_title,release_year
574,tt0041386,The Fountainhead,1949
575,tt0041452,The Heiress,1949
576,tt0041498,I Was a Male War Bride,1949
577,tt0041503,Impact,1949
578,tt0041507,In the Good Old Summertime,1949
579,tt0041509,The Inspector General,1949
580,tt0041546,Kind Hearts and Coronets,1949
581,tt0041587,A Letter to Three Wives,1949
582,tt0041594,Little Women,1949
583,tt0041650,Mighty Joe Young,1949
584,tt0041699,Stray Dog,1949
585,tt0041716,On the Town,1949
586,tt0041719,Orpheus,1950
587,tt0041841,Sands of Iwo Jima,1949
588,tt0041859,The Set-Up,1949
589,tt0041866,She Wore a Yellow Ribbon,1949
590,tt0041890,So Dear to My Heart,1948
591,tt0041931,Stromboli,1950
592,tt0041944,Take Me Out to the Ball Game,1949
593,tt0041958,Thieves' Highway,1949
594,tt0041959,The Third Man,1949
595,tt0041996,Twelve O'Clock High,1949
596,tt0042004,Under Capricorn,1949
597,tt0042041,White Heat,1949
598,tt0042054,Crows and Sparrows,1949
599,tt0042192,All About Eve,1950
600,tt0042200,Annie Get Your Gun,1950
601,tt0042208,The Asphalt Jungle,1950
602,tt0042276,Born Yesterday,1950
603,tt0042286,Broken Arrow,1950
604,tt0042327,Cheaper by the Dozen,1950
605,tt0042332,Cinderella,1950
606,tt0042367,Cyrano de Bergerac,1950
607,tt0042369,D.O.A.,1949
608,tt0042393,Destination Moon,1950
609,tt0042436,Les Enfants Terribles,1950
610,tt0042451,Father of the Bride,1950
611,tt0042530,Gun Crazy,1950
612,tt0042531,The Gunfighter,1950
613,tt0042539,Halls of Montezuma,1951
614,tt0042546,Harvey,1950
615,tt0042593,In a Lonely Place,1950
616,tt0042619,Diary of a Country Priest,1951
617,tt0042644,Kim,1950
618,tt0042646,King Solomon's Mines,1950
619,tt0042788,Night and the City,1950
620,tt0042804,The Young and the Damned,1950
621,tt0042832,Panic in the Streets,1950
622,tt0042876,Rashomon,1950
623,tt0042895,Rio Grande,1950
624,tt0042897,Rocketship X-M,1950
625,tt0042898,The Rocking Horse Winner,1949
626,tt0042906,La Ronde,1950
627,tt0042994,Stage Fright,1950
628,tt0043014,Sunset Blvd.,1950
629,tt0043067,Treasure Island,1950
630,tt0043132,Where the Sidewalk Ends,1950
631,tt0043137,Winchester '73,1950
632,tt0043255,Bud Abbott Lou Costello Meet the Invisible Man,1951
633,tt0043265,The African Queen,1951
634,tt0043274,Alice in Wonderland,1951
635,tt0043278,An American in Paris,1951
636,tt0043313,Early Summer,1951
637,tt0043338,Ace in the Hole,1951
638,tt0043362,The Browning Version,1951
639,tt0043379,Captain Horatio Hornblower R.N.,1951
640,tt0043386,Casque d'Or,1952
641,tt0043456,The Day the Earth Stood Still,1951
642,tt0043461,The Desert Fox: The Story of Rommel,1951
643,tt0043465,Detective Story,1951
644,tt0043503,The Enforcer,1951
645,tt0043547,Flying Leathernecks,1951
646,tt0043614,The Idiot,1951
647,tt0043686,Forbidden Games,1952
648,tt0043809,Miracle in Milan,1951
649,tt0043880,On Moonlight Bay,1951
650,tt0043915,People Will Talk,1951
651,tt0043918,The Little World of Don Camillo,1952
652,tt0043924,A Place in the Sun,1951
653,tt0043949,Quo Vadis,1951
654,tt0043961,The Red Badge of Courage,1951
655,tt0043972,The River,1951
656,tt0043983,Royal Wedding,1951
657,tt0044000,The White Sheik,1952
658,tt0044008,A Christmas Carol,1951
659,tt0044030,Show Boat,1951
660,tt0044079,Strangers on a Train,1951
661,tt0044081,A Streetcar Named Desire,1951
662,tt0044121,The Thing from Another World,1951
663,tt0044207,When Worlds Collide,1951
664,tt0044314,5 Fingers,1952
665,tt0044357,Angel Face,1953
666,tt0044386,Robinson Crusoe,1954
667,tt0044391,The Bad and the Beautiful,1952
668,tt0044413,Bend of the River,1952
669,tt0044486,Carrie,1952
670,tt0044487,The Golden Coach,1952
671,tt0044502,Clash by Night,1952
672,tt0044509,"Come Back, Little Sheba",1952
673,tt0044517,The Crimson Pirate,1952
674,tt0044557,Don't Bother to Knock,1952
675,tt0044672,The Greatest Show on Earth,1952
676,tt0044685,Hans Christian Andersen,1952
677,tt0044706,High Noon,1952
678,tt0044741,Ikiru,1952
679,tt0044744,The Importance of Being Earnest,1952
680,tt0044760,Ivanhoe,1952
681,tt0044762,Jack and the Beanstalk,1952
682,tt0044789,Kansas City Confidential,1952
683,tt0044829,The Lavender Hill Mob,1951
684,tt0044837,Limelight,1952
685,tt0044863,Macao,1952
686,tt0044876,The Man in the White Suit,1951
687,tt0044916,Monkey Business,1952
688,tt0044926,Moulin Rouge,1952
689,tt0044953,The Naked Spur,1953
690,tt0044954,The Narrow Margin,1952
691,tt0045012,Pat and Mike,1952
692,tt0045061,The Quiet Man,1952
693,tt0045094,Road to Bali,1952
694,tt0045112,The Life of Oharu,1952
695,tt0045125,Scaramouche,1952
